"Date","Transaction type","Description","Paid out","Paid in","Balance"
"13 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£7.30","","£20590.66"
"13 Jul 2016","Visa purchase","Amazon UK Marketplace 800-279-6620 LU","£9.69","","£20580.97"
"14 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£8.50","","£20572.47"
"14 Jul 2016","Visa purchase","Amazon UK Marketplace 800-279-6620 LU","£18.98","","£20553.49"
"14 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£36.00","","£20517.49"
"15 Jul 2016","ATM Withdrawal LINK","ATM Withdrawal LINK","£40.00","","£20477.49"
"15 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£9.65","","£20467.84"
"16 Jul 2016","Visa purchase","R34 RESTAURANTS RENFREW GB","£5.00","","£20462.84"
"16 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£30.50","","£20432.34"
"18 Jul 2016","Bank credit PRIZE PAYMENT 3","Bank credit PRIZE PAYMENT 3","","£5.00","£20437.34"
"18 Jul 2016","Visa purchase","SAINSBURYS VICTORI GLASGOW GB","£5.25","","£20432.09"
"18 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£6.85","","£20425.24"
"18 Jul 2016","Visa purchase","GAP GLASGOW 9118 GLASGOW GB","£39.99","","£20385.25"
"18 Jul 2016","Visa purchase","OLLIES GLASGOW GB","£64.00","","£20321.25"
"18 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£2.25","","£20319.00"
"18 Jul 2016","Visa purchase","CINEWORLD GLASGOW GB","£3.82","","£20315.18"
"18 Jul 2016","Visa purchase","CINEWORLD 0333 003 3444 GB","£4.50","","£20310.68"
"18 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£6.04","","£20304.64"
"18 Jul 2016","Visa purchase","TGI FRIDAYS - SILV GLASGOW GB","£30.97","","£20273.67"
"18 Jul 2016","Visa purchase","Amazon UK Marketplace 800-279-6620 LU","£44.95","","£20228.72"
"18 Jul 2016","Visa purchase","TESCO STORES 5307 GLASGOW GB","£48.59","","£20180.13"
"19 Jul 2016","Direct debit CINEWORLD CINEMAS","CINEWORLD CINEMAS","£16.90","","£20163.23"
"19 Jul 2016","Contactless Payment","THE BOATHOUSE ROUKEN G GLASGOW GB","£3.60","","£20159.63"
"19 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£5.60","","£20154.03"
"20 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£12.65","","£20141.38"
"20 Jul 2016","Visa purchase","ITUNES.COM/BILL ITUNES.COM LU","£14.99","","£20126.39"
"20 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£29.25","","£20097.14"
"21 Jul 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£62.21","","£20034.93"
"21 Jul 2016","Direct debit HALIFAX","HALIFAX","£72.94","","£19961.99"
"21 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£6.35","","£19955.64"
"22 Jul 2016","Direct debit CAMELOT LOTTERY","CAMELOT LOTTERY","£28.00","","£19927.64"
"22 Jul 2016","ATM Withdrawal LINK","ATM Withdrawal LINK","£40.00","","£19887.64"
"22 Jul 2016","Contactless Payment","R34 RESTAURANTS RENFREW GB","£5.00","","£19882.64"
"22 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£8.80","","£19873.84"
"22 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£31.50","","£19842.34"
"23 Jul 2016","Contactless Payment","R34 RESTAURANTS RENFREW GB","£5.00","","£19837.34"
"23 Jul 2016","Visa purchase","SAINSBURYS VICTORI GLASGOW GB","£6.30","","£19831.04"
"23 Jul 2016","Visa purchase","Amazon UK Marketplace 800-279-6620 LU","£13.95","","£19817.09"
"25 Jul 2016","Payment to","BRECKS SELF CATERI","£220.00","","£19597.09"
"25 Jul 2016","Bank credit LIFE TECHNOLOGIES","Bank credit LIFE TECHNOLOGIES","","£1640.68","£21237.77"
"25 Jul 2016","Bank credit LAGAN TECHNOLOGIES","Bank credit LAGAN TECHNOLOGIES","","£2913.38","£24151.15"
"25 Jul 2016","Direct debit AGRIA PET INS","AGRIA PET INS","£50.92","","£24100.23"
"25 Jul 2016","Bank credit MIC","Bank credit MIC","","£10.00","£24110.23"
"25 Jul 2016","Visa purchase","WWW.DOMINOS.CO.UK 01908 580000 GB","£21.18","","£24089.05"
"25 Jul 2016","Contactless Payment","TESCO STORES 6257 GLASGOW GB","£1.74","","£24087.31"
"25 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£9.05","","£24078.26"
"25 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£22.65","","£24055.61"
"25 Jul 2016","Contactless Payment","U.K._VENDING LONDON GB","£1.60","","£24054.01"
"25 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£13.40","","£24040.61"
"25 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£31.00","","£24009.61"
"25 Jul 2016","Visa purchase","THE WIZARD OF PAWS LTD FENWICK GB","£42.43","","£23967.18"
"25 Jul 2016","Visa purchase","SHELL ST ANDREWS C GLASGOW GB","£53.55","","£23913.63"
"26 Jul 2016","Visa purchase","AMAZON UK RETAIL AMAZON.C AMAZON.CO.UK LU","£12.59","","£23901.04"
"26 Jul 2016","Visa purchase","Amazon UK Marketplace 800-279-6620 LU","£26.99","","£23874.05"
"26 Jul 2016","Visa purchase","WWW.SCOTTISHFA.CO.UK GLASGOW G42 GB","£38.00","","£23836.05"
"27 Jul 2016","Visa purchase","SAINSBURYS VICTORI GLASGOW GB","£20.85","","£23815.20"
"28 Jul 2016","Direct debit GLASGOW-CTAX","GLASGOW-CTAX","£146.00","","£23669.20"
"28 Jul 2016","Direct debit HALIFAX","HALIFAX","£602.74","","£23066.46"
"28 Jul 2016","Visa purchase","Amazon Prime Now UK 866-216-1072 LU","£15.88","","£23050.58"
"29 Jul 2016","ATM Withdrawal LINK","Withdrawal 28 July 2016","£40.00","","£23010.58"
"29 Jul 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£46.50","","£22964.08"
"29 Jul 2016","Visa purchase","BP POLLOKSHAWS CONVENIENC GLASGOW GB","£21.05","","£22943.03"
"29 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£9.09","","£22933.94"
"29 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£30.95","","£22902.99"
"30 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£5.95","","£22897.04"
"30 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW DARNL GB","£16.75","","£22880.29"
"31 Jul 2016","Interest added","Interest added","","£6.28","£22886.57"
"31 Jul 2016","Subscription fee","Subscription fee","£10.00","","£22876.57"
"01 Aug 2016","Transfer to","DM JOHNSTON","£100.00","","£22776.57"
"01 Aug 2016","Direct debit LEGAL & GEN MI C/L","LEGAL & GEN MI C/L","£9.05","","£22767.52"
"01 Aug 2016","Direct debit DVLA-SA10EOU","DVLA-SA10EOU","£11.37","","£22756.15"
"01 Aug 2016","Direct debit TV LICENCE MBP","TV LICENCE MBP","£12.12","","£22744.03"
"01 Aug 2016","Direct debit DIRECT LINE INS","DIRECT LINE INS","£32.52","","£22711.51"
"01 Aug 2016","Direct debit DIRECT LINE INS","DIRECT LINE INS","£34.03","","£22677.48"
"01 Aug 2016","Direct debit E.ON","E.ON","£81.00","","£22596.48"
"01 Aug 2016","Standing order","DAVID JOHNSTON","£300.00","","£22296.48"
"01 Aug 2016","Standing order","KATHARINA JOHNSTON","£300.00","","£21996.48"
"01 Aug 2016","Visa purchase","MCMILLANS SOUTHSIDE GLASGOW G41 GB","£35.20","","£21961.28"
"01 Aug 2016","Visa purchase","THE WIZARD OF PAWS LTD FENWICK GB","£47.65","","£21913.63"
"01 Aug 2016","Visa purchase","SHELL ST ANDREWS C GLASGOW GB","£2.95","","£21910.68"
"01 Aug 2016","Visa purchase","SHELL ST ANDREWS C GLASGOW GB","£5.49","","£21905.19"
"01 Aug 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£14.85","","£21890.34"
"01 Aug 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£37.95","","£21852.39"
"01 Aug 2016","Visa purchase","SPORTPURSUIT LONDON SW12 9 GB","£63.97","","£21788.42"
"02 Aug 2016","Direct debit AXA INSURANCE UK","AXA INSURANCE UK","£19.00","","£21769.42"
"02 Aug 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW GB","£11.05","","£21758.37"
"03 Aug 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£7.79","","£21750.58"
"03 Aug 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£27.50","","£21723.08"
"03 Aug 2016","Visa purchase","AIRMALTA LUQA MT 159.460000 EUR at 1.17752","£135.42","","£21587.66"
"03 Aug 2016","Non-Sterling transaction fee","Non-Sterling transaction fee","£2.71","","£21584.95"
"03 Aug 2016","Visa purchase","UNBLOCK-US.COM +16025150930 CY 4.990000 CAD at 1.72664","£2.89","","£21582.06"
"03 Aug 2016","Non-Sterling transaction fee","Non-Sterling transaction fee","£0.06","","£21582.00"
"03 Aug 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW GB","£7.20","","£21574.80"
"03 Aug 2016","Visa purchase NETFLIX.COM","NETFLIX.COM 866-716-0414 NL","£7.49","","£21567.31"
"03 Aug 2016","Visa purchase","easyJetEQZB7MV Luton GB 124.480000 EUR at 1.17745 APPLEPAY 3832","£105.72","","£21461.59"
"03 Aug 2016","Non-Sterling transaction fee","Non-Sterling transaction fee","£2.11","","£21459.48"
"04 Aug 2016","Direct debit O2","O2","£27.25","","£21432.23"
"04 Aug 2016","Visa purchase","ITUNES.COM/BILL ITUNES.COM LU","£14.99","","£21417.24"
"05 Aug 2016","ATM Withdrawal LINK","Withdrawal 04 August 2016","£40.00","","£21377.24"
"05 Aug 2016","Contactless Payment","BP POLLOKSHAWS CONVENIENC GLASGOW GB","£22.21","","£21355.03"
"05 Aug 2016","Visa purchase","SAINSBURYS VICTORI GLASGOW GB","£15.80","","£21339.23"
"06 Aug 2016","ATM Withdrawal LINK","ATM Withdrawal LINK","£20.00","","£21319.23"
